Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Training Time,Data Type
Logistic Regression,0.7016638180613206,0.4557150684931507,0.6891385767790262,0.5486305345928545,0.7738497690944979,6.053599119186401,BASE
SGD Classifier,0.6852785238410827,0.4353062027363727,0.6601372178582082,0.5246493249917682,0.7479357640346735,23.613542795181274,BASE
Random Forest,0.671875545013778,0.425849690750353,0.7097212555102582,0.5323041738136077,0.7658134898165245,60.85895991325378,BASE
K-Nearest Neighbors,0.7355069936167986,0.4953178040500995,0.2805011434821517,0.358169160124426,0.6606449170344582,0.106027603149414,BASE
XGBoost,0.7063116955596638,0.4625053441641727,0.7171124589837924,0.5623318735299087,0.7947274383714149,8.969176769256592,BASE
LightGBM,0.6952718964735428,0.4515919691746096,0.7380597262271718,0.5603351744442068,0.7950984918183384,8.09424901008606,BASE
AdaBoost,0.7650162196100317,0.6194959229058562,0.2769878360014584,0.3828130368063031,0.7710800750182669,1227.6851093769071,BASE
Linear SVC,0.7018556629111584,0.4558691116723399,0.6880116668323887,0.5483845401949647,0.7732224397968441,13.148365020751951,BASE
Logistic Regression,0.7007045938121316,0.4538972433861258,0.6772728779291373,0.5435297246974332,0.7676997436721803,8.551793098449707,SMOTE
SGD Classifier,0.686804562419338,0.4375312615531826,0.6668323887176427,0.52837671035008,0.7511008041885843,21.7078800201416,SMOTE
Random Forest,0.6921326171125606,0.4415741077931537,0.6430347021974744,0.5235942623503853,0.753081564424241,93.79370045661926,SMOTE
K-Nearest Neighbors,0.3170584952387596,0.2755514945829526,0.9795498989095488,0.4301109696197926,0.5969321380173718,0.148017406463623,SMOTE
XGBoost,0.7766489936865604,0.6205820105820106,0.3887507871797421,0.4780420207454505,0.7908975885359883,10.747990608215332,SMOTE
LightGBM,0.775925215389445,0.6324042842771762,0.3542143117563223,0.4540896537072445,0.7882789120493356,10.15936279296875,SMOTE
AdaBoost,0.6892811050263351,0.4351625388834801,0.6074044612376123,0.5070555032925682,0.7417550477239403,2014.6356143951416,SMOTE
Linear SVC,0.6994837629495274,0.4525636206858431,0.67843293228597,0.5429442970822281,0.76650958459723,14.865197896957396,SMOTE
Logistic Regression,0.6181938679409815,0.3535638217766399,0.544695237148255,0.4287950738402129,0.6363258535081274,2.39863920211792,SMOTE_PCA
SGD Classifier,0.6198855907077331,0.3540810334703465,0.5396241423883862,0.4275921840529467,0.6363258535081275,2.069007635116577,SMOTE_PCA
Random Forest,0.5849523875963585,0.3419386440739464,0.6247058433595174,0.4419640763494817,0.6360653167935412,30.905268907547,SMOTE_PCA
XGBoost,0.5836879556315183,0.3413859097966995,0.6266945079712306,0.4419977325058148,0.636154661188067,3.0394649505615234,SMOTE_PCA
LightGBM,0.5843681328263979,0.341535005073199,0.6247721321799079,0.4416433349343392,0.6362803018593084,0.8698875904083252,SMOTE_PCA
AdaBoost,0.5182514213959329,0.3219125543339299,0.7511186238440887,0.4506756555200907,0.6328831449350815,27.86263370513916,SMOTE_PCA
Linear SVC,0.6197983885032614,0.3542638855728952,0.5409830632063902,0.4281517234143014,0.6363258535081274,0.1650171279907226,SMOTE_PCA
